Isolate Tag,Date,Initials,Site #,Media,Temperature,Antibiotic
DR#,YYYY-MM-DD,Example,#,TS/MAC,RT/37C,CTX/Other
DR1,2017-07-14,JHB|YK|AW,3,TS,37C,1
DR2,2017-07-14,JHB|YK|AW,2,TS,37C,1
DR3,2017-07-14,JHB|YK|AW,5,TS,37C,1
DR4,2017-07-14,JHB|YK|AW,1,TS,37C,1
DR5,2017-07-14,JHB|YK|AW,1,TS,37C,1
DR6,2017-07-14,JHB|YK|AW,9,TS,RT,1
DR7,2017-07-14,JHB|YK|AW,9,TS,37C,1
DR8,2017-07-14,JHB|YK|AW,7,TS,37C,1
DR9,2017-07-14,JHB|YK|AW,7,TS,37C,1
DR10,2017-07-14,JHB|YK|AW,3,TS,37C,1
DR11,2017-07-14,JHB|YK|AW,5,TS,37C,1
DR12,2017-07-14,JHB|YK|AW,7,TS,37C,1
DR13,2017-07-14,JHB|YK|AW,7,TS,37C,1
DR14,2017-07-14,JHB|YK|AW,5,TS,RT,1
DR15,2017-07-14,JHB|YK|AW,8,TS,RT,1
DR16,2017-07-14,JHB|YK|AW,5,TS,RT,1
DR17,2017-07-14,JHB|YK|AW,8,TS,37C,1
DR18,2017-07-14,JHB|YK|AW,9,TS,RT,1
DR19,2017-07-14,JHB|YK|AW,9,TS,RT,1
DR20,2017-07-27,AW|YK,6,TS,37C,1
DR21,2017-07-27,AW|YK,5,TS,37C,1
DR22,2017-07-27,AW|YK,7,TS,37C,1
DR23,2017-07-27,AW|YK,8,TS,37C,1
DR24,2017-07-27,AW|YK,9,TS,37C,1
DR25,2017-07-27,AW|YK,4,TS,37C,1
DR26,2017-07-27,AW|YK,9,TS,37C,1
DR27,2017-07-27,AW|YK,2,TS,37C,1
DR28,2017-07-27,AW|YK,9,MAC,37C,0
DR29,2017-07-27,AW|YK,9,MAC,37C,0
DR30,2017-07-27,AW|YK,2,MAC,37C,1
DR31,2017-07-27,AW|YK,7,TS,37C,1
DR32,2017-07-27,AW|YK,6,TS,37C,1
DR33,2017-07-27,AW|YK,5,TS,37C,1
DR34,2017-07-14,JHB|YK|AW,8,MAC,37C,0
DR35,2017-08-02,AW|YK,9,TS,37C,1
DR36,2017-08-02,AW|YK,9,TS,37C,1
DR37,2017-08-02,AW|YK,2,TS,37C,1
DR38,2017-08-02,AW|YK,1,TS,37C,1
DR39,2017-08-02,AW|YK,4,TS,37C,1
DR40,2017-08-02,AW|YK,9,TS,37C,1
DR41,2017-08-02,AW|YK,7,TS,37C,1
DR42,2017-08-02,AW|YK,9,MAC,37C,0
DR43,2017-08-02,AW|YK,6,TS,37C,1
DR44,2017-08-02,AW|YK,6,TS,37C,1
DR45,2017-08-02,AW|YK,7,TS,RT,1
DR46,2017-08-02,AW|YK,7,TS,RT,1
DR47,2017-08-02,AW|YK,6,TS,RT,1
DR48,2017-08-02,AW|YK,6,TS,RT,1
DR49,2017-08-02,AW|YK,6,TS,RT,1
DR50,2017-08-02,AW|YK,6,TS,RT,1
DR51,2017-08-02,AW|YK,6,TS,RT,1
DR52,2017-08-02,AW|YK,6,TS,RT,1
DR53,2017-08-02,AW|YK,6,TS,RT,1
DR54,2017-08-02,AW|YK,6,TS,RT,1
DR55,2017-08-05,AW|YK,1,TS,RT,1
DR56,2017-08-05,AW|YK,6,TS,RT,1
DR57,2017-08-05,AW|YK,6,TS,RT,1
DR58,2017-08-05,AW|YK,5,TS,RT,1
DR59,2017-08-05,AW|YK,9,TS,RT,1
DR60,2017-08-05,AW|YK,9,TS,RT,1
DR61,2017-08-05,AW|YK,2,TS,37C,1
DR62,2017-08-05,AW|YK,5,TS,37C,1
DR63,2017-07-27,AW|YK,5,TS,37C,1
DR64,2017-08-05,AW|YK,6,TS,37C,1
DR65,2017-08-05,AW|YK,6,TS,37C,1
DR66,2017-08-05,AW|YK,9,TS,37C,1
DR67,2017-08-05,AW|YK,2,TS,RT,1
DR68,2017-08-05,AW|YK,9,TS,RT,1
DR69,2017-08-05,AW|YK,1,TS,37C,1
DR70,2017-08-05,AW|YK,3,TS,37C,1
DR71,2017-08-08,AW|YK,9,MAC,37C,0
DR72,2017-08-08,AW|YK,9,MAC,37C,0
DR73,2017-08-08,AW|YK,6,TS,37C,1
DR74,2017-08-08,AW|YK,5,TS,37C,1
DR75,2017-08-08,AW|YK,2,TS,37C,1
DR76,2017-08-08,AW|YK,2,TS,37C,1
DR77,2017-08-08,AW|YK,10,TS,37C,1
DR78,2017-08-08,AW|YK,7,TS,37C,1
DR79,2017-08-08,AW|YK,9,TS,37C,1
DR80,2017-08-08,AW|YK,9,TS,37C,1
DR81,2017-08-08,AW|YK,10,TS,RT,1
DR82,2017-08-08,AW|YK,2,TS,RT,1
DR83,2017-08-08,AW|YK,9,TS,RT,1
DR84,2017-08-08,AW|YK,8,TS,RT,1
DR85,2017-08-08,AW|YK,6,TS,RT,1
DR86,2017-08-08,AW|YK,9,TS,RT,1
DR87,2017-08-08,AW|YK,7,TS,RT,1
DR88,2017-08-08,AW|YK,10,TS,RT,1
DR89,2017-08-08,AW|YK,5,TS,RT,1
DR90,2017-08-08,AW|YK,7,TS,RT,1
DR91,2017-08-08,AW|YK,9,TS,RT,1
DR92,2017-08-08,AW|YK,9,MAC,37C,0
DR93,2017-08-08,AW|YK,9,MAC,37C,1
DR94,2017-08-08,AW|YK,9,MAC,37C,0
DR95,2017-08-08,AW|YK,9,MAC,37C,1
DR96,2017-08-11,AW|YK,5,TS,37C,1
DR97,2017-08-11,AW|YK,8,TS,37C,1
DR98,2017-08-11,AW|YK,9,TS,37C,1
DR99,2017-08-11,AW|YK,9,TS,37C,1
DR100,2017-08-11,AW|YK,9,MAC,37C,0
DR101,2017-08-11,AW|YK,9,MAC,37C,0
DR102,2017-08-11,AW|YK,9,MAC,37C,0
DR103,2017-08-11,AW|YK,9,MAC,37C,1
DR104,2017-08-11,AW|YK,9,MAC,37C,1
DR105,2017-08-11,AW|YK,9,TS,37C,1
DR106,2017-08-11,AW|YK,9,MAC,37C,0
DR107,2017-08-22,YK,11,TS,37C,1
DR108,2017-08-25,JHB|YK,11,TS,37C,1
DR109,2017-09-15,AW|JH|TD,5,TS,37C,1
DR110,2017-09-15,AW|JH|TD,5,TS,37C,1
DR111,2017-09-15,AW|JH|TD,5,TS,37C,1
DR112,2017-09-15,AW|JH|TD,5,MAC,37C,0
DR113,2017-09-15,YK|AA|KW,9,TS,37C,1
DR114,2017-09-15,YK|AA|KW,9,TS,37C,1
DR115,2017-09-15,YK|AA|KW,9,TS,37C,1
DR116,2017-09-15,YK|AA|KW,8,TS,37C,1
DR117,2017-09-20,AW|JH|TD,9,MAC,37C,0
DR118,2017-09-20,AW|JH|TD,9,MAC,37C,0
DR119,2017-09-20,AW|JH|TD,10,MAC,37C,0
DR120,2017-09-20,AW|JH|TD,6,TS,37C,1
DR121,2017-09-20,AW|JH|TD,10,TS,37C,1
DR122,2017-09-20,AW|JH|TD,8,TS,37C,1
DR123,2017-09-20,AW|JH|TD,9,TS,37C,1
DR124,2017-09-20,AW|JH|TD,9,TS,37C,1
DR125,2017-09-20,AW|JH|TD,10,TS,37C,1
DR126,2017-09-22,AD|BW|FL,1,TS,37C,1
DR127,2017-09-22,AD|BW|FL,4,TS,37C,1
DR128,2017-09-22,AD|BW|FL,3,TS,37C,1
DR129,2017-09-22,YK|AA|KW,2,TS,37C,1
DR130,2017-09-22,YK|AA|KW,5,TS,37C,1
DR131,2017-09-22,YK|AA|KW,5,TS,37C,1
DR132,2017-09-20,AW|JH|TD,9,MAC,37C,1
DR133,2017-09-20,AW|JH|TD,9,MAC,37C,1
DR134,2017-10-05,AD|BW|FL,9,TS,37C,1
DR135,2017-10-05,AD|BW|FL,9,TS,37C,1