Run ID,Date,Time,Conditions,Initials,Swabber
1,2017-06-21,2:00:00 PM,,AD|JHB,AD
2,2017-07-14,5:00:00 PM,,JHB|YK|AW,AW
3,2017-07-27,5:00:00 PM,,AW|YK,AW
4,2017-08-02,5:00:00 PM,,AW|YK,AW
5,2017-08-05,4:00:00 PM,,AW|YK,AW
6,2017-08-08,4:45:00 PM,Rained right before run,AW|YK,AW
7,2017-08-11,3:45:00 PM,,AW|YK,AW
8,2017-08-21,5:20:00 PM,,JHB|YK,YK
9,2017-08-22,4:15:00 PM,,YK,YK
10,2017-08-25,5:20:00 PM,Freshmen used bus,JHB|YK,YK
11,2017-09-15,1:00:00 PM,Homecoming,YK|AA|KW,YK
12,2017-09-15,5:00:00 PM,,AW|JH|TD,AW
13,2017-09-20,7:30:00 PM,,AW|JH|TD,AW
14,2017-09-22,11:45:00 AM,,YK|AA|KW,YK
15,2017-09-22,5:00:00 AM,,AD|BW|FL,AD
16,2017-10-05,5:00:00 AM,Inauguration|switched swabber to BW,AD|BW|FL,BW
17,2017-10-18,9:30:00 AM,,YK|KW|AA,YK
18,2017-10-18,5:00:00 PM,,AW|JH|TD,AW
19,2017-10-25,9:15:00 AM,,YK|KW|AA,YK 